1	2	3	4	5	6	7	8	9	10
SMC1B	6.03824	6.155024	6.118157	6.25243	6.138085	5.973423	6.010691	6.042187	6.092084	6.118964
ASB16	7.189603	7.089377	7.378814	6.99954	7.070963	7.012142	7.100314	7.016753	7.423625	7.182819
MAGEE2	6.117131	6.019223	6.011495	6.061545	6.180494	6.065256	6.07526	6.042117	6.013895	6.036533
ERVV-1	7.130249	6.99599	7.251812	7.176696	7.431468	7.208212	7.262673	7.172107	7.505461	7.192109
FLJ30679	6.790464	6.482763	6.801642	6.560945	6.650889	6.510291	6.54018	6.57384	6.554682	6.67305
UTS2R	7.858762	7.648985	8.033814	7.612693	7.683895	7.627026	7.646573	7.763138	7.883889	7.724746
USH1G	7.661084	7.620121	7.700306	7.581031	7.872962	7.687838	7.633303	7.649332	7.746952	7.726418
ZNF560	5.882078	5.844636	6.02231	5.971571	5.527827	6.011941	6.069615	5.838385	6.025782	6.026313
C21orf128	6.481981	6.578205	6.540984	6.457802	6.779268	6.500029	6.561642	6.412604	6.561563	6.453638
NYAP1	6.717186	6.432444	6.804411	6.512173	6.746865	6.491805	6.522421	6.545154	6.662682	6.800511
MRGPRX3	6.161685	6.079488	6.950714	6.1374	5.870267	6.586111	6.532176	6.107753	6.155277	6.245243
GPR128	6.083125	5.927245	5.977292	5.872603	5.982759	5.94906	5.95503	5.953742	5.970381	5.981057
C17orf77	5.918776	5.772121	5.953229	5.812067	5.884281	5.797725	5.734881	5.855297	6.109786	5.878579
DUSP5P	6.426	6.338919	6.321562	7.227285	6.278206	6.366549	6.609776	6.867418	6.873611	6.461105
DGKH	6.395904	6.552011	6.753697	6.455278	6.548024	6.829448	6.976958	6.872427	6.199471	6.634035
C20orf197	6.725587	6.006509	6.075942	5.765702	5.776931	7.09058	5.993289	6.195916	5.916423	5.986021
OXGR1	6.320155	7.123457	6.112183	6.195402	6.455908	6.197071	6.267108	6.161238	6.06152	6.13042
CDC14C	5.940452	5.972058	5.872928	5.93295	5.882713	5.921005	5.958386	6.010093	5.959626	5.932544
SULT1C4	6.113183	6.155746	6.155831	6.038323	6.298753	6.101506	6.109286	6.17981	6.135077	6.285725
POU5F2	6.425523	6.396712	6.477775	6.257532	6.6309	6.522512	6.413739	6.363236	6.561723	6.311184
RXFP2	6.21654	6.204513	6.178395	6.195378	6.627467	6.175941	6.283564	6.158423	6.311476	6.097791
MAB21L3	6.634026	5.914665	6.060256	5.909987	6.383264	6.179428	6.878886	7.17203	5.808878	7.035324
LOC285696	6.30879	6.185976	6.266309	6.19816	6.164799	6.163955	6.135683	6.18017	6.07269	6.169003
UROC1	6.344393	6.208031	6.404799	6.260622	6.237948	6.273421	6.242871	6.354376	6.333959	6.21757
LOC158696	5.8563	6.014439	5.867099	5.820254	6.039344	5.892389	6.011706	5.942147	6.031639	5.995045
C6orf195	6.108311	6.116415	6.066327	6.222696	5.959979	6.064796	6.007859	6.13707	6.317542	6.187167
PNPLA1	6.168217	6.171245	6.342533	6.207211	6.170974	6.257412	6.33109	6.360623	6.165771	6.329517
COX6B2	6.781977	6.482105	6.840677	6.435313	6.702578	6.705745	6.601744	6.549342	7.555333	6.480189
FLJ23865	6.183552	6.197112	6.191996	6.23923	6.353745	6.25033	6.224257	6.159244	6.290815	6.32324
WDR64	6.368648	6.296831	6.294789	6.309606	6.348604	6.296294	6.359747	6.248666	6.366875	6.296315
PRO2949	5.97646	6.176532	5.952914	5.987393	6.138072	6.123104	6.128101	6.095215	6.083959	6.008054
C17orf66	6.11055	6.222823	6.27542	6.092458	6.244496	6.190623	6.136319	6.080765	6.125374	6.075138
FAM26D	6.160875	6.165594	6.198351	6.255987	6.108509	6.206017	6.122396	6.115049	6.131507	5.922223
CXorf58	6.025544	6.124551	5.975482	6.044015	6.16607	5.882067	6.057847	6.090127	5.908538	6.097459
EFCAB3	6.134853	6.413428	6.065457	6.124053	6.039135	6.114023	6.655516	6.086906	6.459413	6.38822
MRGPRX1	6.215024	6.634496	6.141425	6.596479	6.482368	6.664819	6.65871	6.494639	6.62283	6.294249
RLN3	6.319243	6.345242	6.341592	6.410816	6.342043	6.257306	6.377182	6.266389	6.496859	6.243738
FLJ13744	6.402676	6.138532	6.787562	6.28795	6.029566	6.963784	6.090757	9.790185	6.868766	7.701209
SLC17A8	5.768257	5.9097	5.954126	5.806909	5.735491	5.849481	5.864737	5.759793	5.94678	5.938313
C11orf44	6.223774	6.153715	6.26065	6.070478	6.188713	6.187351	6.269672	6.182747	6.375547	6.155273
WDR65	6.357784	6.168173	6.508342	6.233465	6.768099	6.126183	6.204544	6.312654	6.903138	6.2628
C5orf64	5.855838	5.971342	6.061297	5.95354	5.923775	6.011121	6.023644	6.01511	6.112217	5.92273
FLJ31713	6.381178	6.264846	6.346645	6.550111	6.316033	6.433793	6.362464	6.443593	6.409127	6.398561
EDARADD	6.826312	6.564207	6.774981	6.32361	6.918743	6.582244	6.396932	6.407513	6.413583	6.611432
CYP4Z2P	6.089289	6.182992	6.147688	6.182107	6.039158	6.332273	6.164717	6.238757	6.035984	6.165213
C18orf15	6.430371	6.400879	6.470072	6.266371	6.290748	6.40584	6.304547	6.352119	6.353914	6.541672
MUC19	6.161458	6.127883	6.076849	6.10992	6.224746	6.108922	6.180919	6.03943	6.042859	6.226391
FER1L6-AS1	6.004342	5.956636	6.137983	6.054155	5.862766	6.032425	6.159115	5.992634	6.301933	6.060671
C1orf127	7.142613	6.91895	7.217516	6.974702	7.236663	7.003763	6.978374	7.066073	7.302695	7.025823
AGBL1	6.180648	6.105687	6.454436	6.236464	6.415151	6.256135	6.477515	6.242675	6.205253	6.238859
FLJ34503	6.161106	5.935601	6.100034	6.049993	6.328369	6.119293	6.065967	5.91668	5.975799	6.049238
CCDC79	6.296266	6.10238	6.143746	6.04646	6.218507	6.094065	6.148885	6.106146	6.213963	6.138458
MYO1H	6.071174	6.181273	6.103061	6.108445	5.776478	5.978115	6.153769	6.067888	6.118584	6.011983
RPTN	6.066244	5.928584	6.12009	5.98103	6.034044	5.945979	5.811821	8.678943	5.992349	6.127316
LINC00269	6.72644	6.42234	6.785647	6.433845	6.534319	6.467318	6.622859	6.533757	6.655682	6.582827
C2orf61	6.385699	6.561576	6.329372	6.452155	6.843998	6.459902	6.549354	6.541418	6.681542	6.348207
FLJ40288	7.068196	6.997514	7.042633	7.057859	6.98369	7.047594	7.085138	7.020672	7.203377	6.880903
CES5A	6.355803	6.193939	6.418674	6.219101	6.144359	6.201913	6.370788	6.216078	6.327888	6.255319
CXorf59	6.469009	6.457998	6.365244	6.517932	6.395514	6.44279	6.455508	6.643194	6.348394	6.3759
FLJ32742	6.176623	6.255916	6.231497	6.175566	6.072751	6.234101	6.235424	6.253365	6.346296	6.267466
SLC35G3	6.014051	6.164169	6.005528	6.020996	6.165563	6.032036	6.054352	5.996469	6.152229	5.949582
POTED	5.841927	6.057404	5.939303	6.028598	5.822176	5.988271	5.760712	5.837196	5.776901	5.745425
PRO1483	6.225504	6.317784	6.26111	6.549989	6.010958	6.503724	6.417042	6.42575	6.417077	6.296505
KIRREL3-AS3	6.33035	6.302369	6.343898	6.351195	6.397297	6.3472	6.367191	6.292885	6.650006	6.331113
TMEM145	6.263572	6.320932	6.267156	6.240778	6.151945	6.266798	6.305885	6.312257	6.418031	6.207856
C15orf32	6.328276	6.130517	6.418353	6.120697	6.120178	6.140601	6.253001	6.130434	6.350389	6.130164
TSGA10IP	6.913308	6.770487	6.945657	6.785408	6.978632	6.710599	6.867205	6.84838	7.051105	6.814686
